"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"13.08.2018","6,8765","6,8226","7,0303","6,4651","0,72%"
"12.08.2018","6,8274","7,1289","7,1326","6,5758","6,22%"
"10.08.2018","6,4275","5,5450","6,8020","5,5300","15,90%"
"09.08.2018","5,5457","5,2840","5,5720","5,2777","5,03%"
"08.08.2018","5,2800","5,2310","5,3112","5,2200","0,68%"
"07.08.2018","5,2443","5,3275","5,3696","5,1725","-1,61%"
"06.08.2018","5,3301","5,0798","5,4265","5,0798","4,50%"
"05.08.2018","5,1007","5,0909","5,1129","5,0909","0,38%"
"03.08.2018","5,0815","5,0655","5,1135","5,0528","0,31%"
"02.08.2018","5,0660","4,9924","5,0944","4,9591","1,42%"
"01.08.2018","4,9950","4,9136","5,0183","4,9086","1,64%"
"31.07.2018","4,9142","4,8845","4,9324","4,8734","0,65%"
"30.07.2018","4,8823","4,8459","4,9104","4,8407","0,52%"
"29.07.2018","4,8572","4,8554","4,8584","4,8544","0,09%"
"27.07.2018","4,8529","4,8644","4,8830","4,8340","-0,25%"
"26.07.2018","4,8649","4,7705","4,8845","4,7660","1,93%"
"25.07.2018","4,7728","4,8883","4,8924","4,7728","-2,32%"
"24.07.2018","4,8861","4,7415","4,9403","4,7345","3,09%"
"23.07.2018","4,7395","4,7939","4,7970","4,7305","-0,85%"
"22.07.2018","4,7803","4,7854","4,7873","4,7782","-0,26%"
"20.07.2018","4,7927","4,8065","4,8269","4,7630","-0,29%"
"19.07.2018","4,8066","4,7970","4,8453","4,7875","0,24%"
"18.07.2018","4,7953","4,8075","4,8473","4,7625","-0,23%"
"17.07.2018","4,8065","4,8450","4,8606","4,7755","-0,82%"
"16.07.2018","4,8463","4,8435","4,8680","4,8180","-0,21%"
"15.07.2018","4,8567","4,8632","4,8651","4,8458","0,03%"
"13.07.2018","4,8552","4,8545","4,8753","4,8066","0,00%"
"12.07.2018","4,8552","4,8735","4,9721","4,7792","-0,43%"
"11.07.2018","4,8762","4,7035","4,8789","4,6923","3,58%"
"10.07.2018","4,7077","4,7358","4,7588","4,6448","-0,55%"
"09.07.2018","4,7338","4,5694","4,7488","4,5060","3,37%"
"08.07.2018","4,5794","4,5819","4,5907","4,5769","0,20%"
"06.07.2018","4,5704","4,5935","4,6198","4,5684","-0,48%"
"05.07.2018","4,5925","4,6692","4,6890","4,5813","-1,59%"
"04.07.2018","4,6667","4,6720","4,7234","4,6590","-0,08%"
"03.07.2018","4,6705","4,6175","4,6881","4,6080","1,18%"
"02.07.2018","4,6161","4,5908","4,6448","4,5813","0,44%"
"01.07.2018","4,5957","4,6038","4,6052","4,5933","0,19%"
"29.06.2018","4,5872","4,5830","4,6111","4,5445","0,04%"
"28.06.2018","4,5853","4,6245","4,6535","4,5733","-0,80%"
"27.06.2018","4,6225","4,6168","4,6590","4,5895","0,15%"
"26.06.2018","4,6155","4,6792","4,7169","4,6045","-1,40%"
"25.06.2018","4,6810","4,6600","4,7249","4,5350","1,46%"
"24.06.2018","4,6136","4,6326","4,6612","4,5874","-1,36%"
"22.06.2018","4,6773","4,7185","4,7462","4,6585","-0,96%"
"21.06.2018","4,7225","4,7312","4,7700","4,7151","-0,22%"
"20.06.2018","4,7327","4,7319","4,7696","4,7220","-0,16%"
"19.06.2018","4,7402","4,7055","4,7763","4,6860","0,77%"
"18.06.2018","4,7042","4,7272","4,7458","4,6730","-0,81%"
"17.06.2018","4,7427","4,7363","4,7448","4,7332","0,27%"
"15.06.2018","4,7301","4,7267","4,7602","4,7073","0,09%"
"14.06.2018","4,7259","4,6319","4,7329","4,5910","1,74%"
"13.06.2018","4,6452","4,5953","4,6994","4,5812","1,04%"
"12.06.2018","4,5976","4,5229","4,5998","4,5191","1,63%"
